location	excess_mortality_cumulative_per_million_delta_q1	people_fully_vaccinated_per_hundred	excess_mortality_cumulative_per_million_2022_q1	excess_mortality_cumulative_per_million_2021_q1
Austria	874.7469889000001		893.3468630000001	18.599874099999965
Belgium	411.28461500000003	72.56	250.01861200000008	-161.26600299999996
Bulgaria	6510.286508	18.98	7275.396551	765.1100429999997
Chile	1380.6162930000005	73.44	1778.8442674000003	398.2279743999999
Colombia	1987.0853180000001	32.54	2481.155044	494.06972599999995
Cyprus	1040.17276722		920.4189712000001	-119.75379601999998
Denmark	495.93157210000004	74.52	378.0639643	-117.8676078
Estonia	2194.8583894	53.33	2720.74603709	525.88764769
France	398.17566970000007	65.56	527.8455104000001	129.6698407
Germany	590.0109904999999	63.61	673.1845403	83.17354979999999
Greece	2237.5823074	58.39	2127.7155832999997	-109.86672410000006
Hungary	2103.234303	58.44	2734.166189	630.9318859999998
Iran	1651.7799389999998		1723.7167749999999	71.93683600000008
Israel	546.7764503	60.81	708.9226133	162.146163
Latvia	3131.8193359999996	44.75	3865.1071753999995	733.2878393999999
Lithuania	3675.7276030000003	60.48	4564.657964	888.930361
Luxembourg	-141.61628445699998		-186.353798157	-44.73751370000002
Mongolia	814.7402353	63.87	614.9073584	-199.83287689999997
Netherlands	712.5099301		838.3404881	125.830558
New Zealand	-61.4868424	35.34	-44.08637809999999	17.40046430000001
Norway	496.7406313	66.45	320.73161207000004	-176.00901922999998
Peru	2275.7443439999997	32.14	3848.313887	1572.569543
Poland	2283.419319		2909.307617	625.8882979999998
Portugal	164.6157229999999	85.16	992.4740771999999	827.8583542
Puerto Rico	1286.3803217		1416.5670169	130.18669520000003
Slovenia	827.094327	49.03	1084.993047	257.8987199999999
South Africa	2223.103975000001	13.98	3493.6863188000007	1270.5823438
Sweden	201.73896880000007	64.32	309.9065673000001	108.16759850000005
Switzerland	322.1389397999999	57.56	366.8065168999999	44.66757710000002
Taiwan	131.45667360000002	9.02	94.88573639999998	-36.57093720000003
Thailand	1007.1315224		1068.47459929	61.34307689
United Kingdom	303.19124799999986	65.63	807.9729049999999	504.781657
