date	@avg := avg(stringency_index)	@stddv := stddev(stringency_index)
2020-05-07	62.61370370370372	32.708285494447466
2020-05-08	62.26226851851853	32.650554869400764
2020-05-09	62.249490740740754	32.631126630927376
2020-05-10	62.343796296296304	32.69846383914672
2020-05-11	61.62986111111109	32.5156962592138
2020-05-12	61.499166666666646	32.453822383018576
2020-05-13	61.35447004608292	32.450441261764134
2020-05-14	60.84889400921655	32.46621902190996
2020-05-15	60.69737327188936	32.440007671216634
2020-05-16	60.57359447004605	32.403428261785066
2020-05-17	60.315483870967704	32.30795123874511
2020-05-18	59.54976958525342	31.989352252751154
2020-05-19	59.54976958525342	31.9929312244753
2020-05-20	59.357695852534526	31.902953523754366
2020-05-21	59.20414746543776	31.799020886535324
2020-05-22	59.09944700460826	31.75310573972503
2020-05-23	59.06110599078339	31.703184123513704
2020-05-24	59.04405529953915	31.688752444373904
2020-05-25	58.6622119815668	31.636209518695882
2020-05-26	58.418940092165876	31.524152225412415
2020-05-27	58.23119815668199	31.556434582211267
2020-05-28	58.222672811059866	31.508773560538042
2020-05-29	58.02202764976957	31.387549757182448
2020-05-30	57.81294930875575	31.319670069096542
2020-05-31	57.518479262672805	31.11525128717937
2020-06-01	55.89917050691245	30.94956956816683
2020-06-02	55.474562211981564	30.854434749357367
2020-06-03	55.406221198156686	30.84933085647215
2020-06-04	55.36350230414748	30.850862481371
2020-06-05	54.97525345622122	30.631482344967335
2020-06-06	54.672350230414764	30.62499809471507
2020-06-07	54.484608294930894	30.504585995913008
2020-06-08	53.62691244239633	30.27839038932504
2020-06-09	53.43488479262674	30.21483300868113
2020-06-10	53.234377880184354	30.193347677390886
2020-06-11	52.982580645161306	30.043285911552896
2020-06-12	52.9462211981567	30.03429435384757
2020-06-13	53.00170506912445	30.07870069237678
2020-06-14	52.95903225806453	30.076336143846852
2020-06-15	52.13350230414748	29.95298276756353
2020-06-16	51.95852534562213	29.833435911510826
2020-06-17	51.79640552995392	29.823810470004542
2020-06-18	51.74949308755761	29.740712405680835
2020-06-19	51.55751152073734	29.70648608412744
2020-06-20	51.47645161290324	29.700903985353673
2020-06-21	51.25460829493088	29.696709510013783
2020-06-22	50.949631336405545	29.690215456835336
2020-06-23	50.89198156682029	29.670246531721258
2020-06-24	50.81953917050693	29.673643533023768
2020-06-25	50.78552995391706	29.61516167026637
2020-06-26	50.49110599078342	29.687840901525593
2020-06-27	50.309677419354855	29.666583792293263
2020-06-28	50.27124423963136	29.650321387123302
2020-06-29	50.18801843317974	29.647686495012938
2020-06-30	50.087603686635966	29.600300156803968
2020-07-01	49.12124423963135	29.385148413778595
2020-07-02	49.19373271889404	29.39953461154725
2020-07-03	49.07433179723505	29.337570722367435
2020-07-04	49.12336405529955	29.335986931346415
2020-07-05	49.082811059907854	29.369710766895913
2020-07-06	48.988940092165926	29.28756409122024
2020-07-07	48.88230414746547	29.1525787247682
2020-07-08	48.77986175115209	29.05020839537969
2020-07-09	48.74774193548388	29.01770084245563
2020-07-10	48.6025806451613	29.034219946512813
2020-07-11	48.604746543778816	29.02130744410482
2020-07-12	48.596221198156684	29.03575930537292
2020-07-13	48.38506912442397	29.032231653195506
2020-07-14	48.28691244239632	28.996014363914473
2020-07-15	48.41285714285715	29.005336361760293
2020-07-16	48.3573271889401	29.03138064199678
2020-07-17	48.13341013824885	28.961442433310573
2020-07-18	48.08221198156682	28.926349407383103
2020-07-19	48.193179723502304	28.92476821266921
2020-07-20	47.95419354838709	28.89557125537617
2020-07-21	47.71520737327187	28.779393983274804
2020-07-22	47.35244239631336	28.659229330739773
2020-07-23	47.382304147465426	28.65965491026886
2020-07-24	47.48686635944699	28.77150382890353
2020-07-25	47.50391705069123	28.85869698321732
2020-07-26	47.43990783410137	28.81762365586776
2020-07-27	47.27986175115207	28.6896219692182
2020-07-28	47.26069124423963	28.61651944657958
2020-07-29	47.19239631336405	28.546062731723406
2020-07-30	47.2905069124424	28.56076625140622
2020-07-31	47.488986175115194	28.694856551663502
2020-08-01	47.30760368663593	28.460402158646247
2020-08-02	47.30755760368661	28.473432778978935
2020-08-03	47.354516129032234	28.483268415063932
2020-08-04	47.46115207373269	28.501926914565498
2020-08-05	47.488940092165876	28.480932829198125
2020-08-06	47.74281105990781	28.593283925536237
2020-08-07	47.90921658986173	28.735111181160267
2020-08-08	48.03073732718893	28.824437267501796
2020-08-09	48.03073732718894	28.810424771134752
2020-08-10	47.83875576036865	28.711747460415395
2020-08-11	47.82170506912441	28.980780654136186
2020-08-12	47.977465437788	28.913927352721952
2020-08-13	48.007327188940074	28.91903025394231
2020-08-14	47.90705069124422	28.855351739676852
2020-08-15	47.60829493087557	28.70871083378528
2020-08-16	47.58262672811059	28.714023116154333
2020-08-17	47.55493087557603	28.75479797463446
2020-08-18	47.53147465437785	28.737630088071818
2020-08-19	47.49732718894007	28.705562897166423
2020-08-20	47.46322580645158	28.723774281055263
2020-08-21	47.608294930875545	28.673404436472687
2020-08-22	47.59548387096771	28.645221167475917
2020-08-23	47.54861751152072	28.607895705665545
2020-08-24	47.501705069124405	28.53481765758676
2020-08-25	47.51023041474651	28.562785695289236
2020-08-26	47.441935483870935	28.64687996515106
2020-08-27	47.30110599078337	28.51099851925223
2020-08-28	47.24354838709672	28.558202479911152
2020-08-29	47.28617511520733	28.55438800447925
2020-08-30	47.28617511520733	28.494546517233626
2020-08-31	47.111382488479215	28.41852355485828
2020-09-01	46.494884792626685	28.08149898697345
2020-09-02	46.296405529953866	27.969618886001488
2020-09-03	46.298571428571385	27.947109415595982
2020-09-04	46.287880184331755	27.96276090356064
2020-09-05	46.266589861751115	27.990782903332022
2020-09-06	46.2196774193548	28.007000250465648
2020-09-07	45.56587155963298	27.98384716621421
2020-09-08	45.66146788990821	28.01951542468731
2020-09-09	45.6890825688073	28.02778898025356
2020-09-10	45.54674311926602	27.969401366264943
2020-09-11	45.45536697247702	27.866682814857302
2020-09-12	45.47871559633025	27.889180849247797
2020-09-13	45.45325688073392	27.884617112358196
2020-09-14	45.30233944954124	27.80506851911471
2020-09-15	45.22376146788988	27.693571730803463
2020-09-16	45.19188073394493	27.620917426659858
2020-09-17	45.2004587155963	27.75697592738835
2020-09-18	45.204724770642166	27.77546141892769
2020-09-19	45.104908256880705	27.681258808294224
2020-09-20	44.934999999999974	27.552578964024537
2020-09-21	44.82463302752293	27.38781625091295
2020-09-22	44.71206422018348	27.262440992293065
2020-09-23	44.65266055045871	27.20958478056301
2020-09-24	44.53160550458715	27.19215199264601
2020-09-25	44.53591743119265	27.175794280950125
2020-09-26	44.417110091743105	27.079978781800072
2020-09-27	44.40013761467889	27.068925995839184
2020-09-28	44.31298165137612	27.053306447338525
2020-09-29	44.28963302752291	26.944914446778835
2020-09-30	44.18339449541282	26.91948495288825
2020-10-01	43.87123853211005	26.667187941105105
2020-10-02	43.85646788990823	26.604813334621802
2020-10-03	43.92444954128438	26.57759330679509
2020-10-04	43.822568807339415	26.557368797339958
2020-10-05	43.74192660550456	26.336695472254732
2020-10-06	43.6611467889908	26.454658857947482
2020-10-07	43.54857798165135	26.446387264691005
2020-10-08	43.49756880733943	26.411001131849385
2020-10-09	43.389357798165115	26.33659231944066
2020-10-10	43.327752293577966	26.244656424106125
2020-10-11	43.308623853210996	26.20523818243145
2020-10-12	42.99652968036528	25.779181448914535
2020-10-13	42.92684931506848	25.711171490001252
2020-10-14	42.9056621004566	25.668710158140545
2020-10-15	42.78296803652967	25.523696749432066
2020-10-16	42.57155251141551	25.42410067842328
2020-10-17	42.53351598173515	25.437907066981253
2020-10-18	42.50392694063926	25.421429282613467
2020-10-19	42.272863636363624	25.530188912158405
2020-10-20	42.42440909090907	25.5221898126443
2020-10-21	42.523318181818155	25.64577499119027
2020-10-22	42.5842727272727	25.664493901075613
2020-10-23	42.575772727272714	25.671134193224276
2020-10-24	42.670499999999976	25.721441254419343
2020-10-25	42.64731818181816	25.705689104813075
2020-10-26	42.7987727272727	25.80493920028035
