location	total_deaths_per_million	stringency_index_avg
Slovenia	2688.67	49.67892898719437
Solomon Islands		42.36993399339927
Somalia	81.482	36.92977941176443
South Africa	1518.021	51.923220140515404
South America	2744.843	0
South Korea	109.638	49.39139080459779
South Sudan	11.861	49.86366834170861
Spain	1912.602	54.80091860465131
Sri Lanka	696.785	57.03163005780299
Sudan	74.172	36.375311355311204
Suriname	2009.131	68.23352078239586
Sweden	1506.866	45.36070930232594
Switzerland	1401.756	45.844102870813195
Syria	158.516	44.779345679011904
Taiwan	35.632	31.894098173515722
Tajikistan	12.821	34.08837662337693
Tanzania	11.984	18.14807598039206
Thailand	310.189	49.19200450450433
Timor	90.782	46.310061728395354
Togo	29.251	46.939939613526604
Tonga		54.16168269230764
Trinidad and Tobago	2044.359	66.89327628361892
Tunisia	2142.217	52.36198067632815
Turkey	968.466	58.58110840438531
Turkmenistan		62.77387096774167
Turks and Caicos Isl	662.826	0
Tuvalu		0
Uganda	69.901	62.48563501849625
Ukraine	2348.642	61.14689987937298
United Arab Emirates	216.593	50.24762456546922
United Kingdom	2180.667	53.65041811846743
United States	2478.332	56.36896551724083
United States Virgin		43.612067247820626
Upper middle income	900.495	0
Uruguay	1770.368	47.42479853479869
Uzbekistan	43.759	49.49599755201972
Vanuatu	3.18	29.780953206239214
Vatican		0
Venezuela	185.613	69.60453545232197
Vietnam	329.983	62.85520138089708
Wallis and Futuna	630.972	0
World	690.825	0
Yemen	65.069	32.44701643489217
Zambia	197.35	40.47497542997549
Zimbabwe	331.563	63.46459359605871
