location	excess_mortality_cumulative_per_million_delta_q4	people_fully_vaccinated_per_hundred	excess_mortality_cumulative_per_million_2021_q4	excess_mortality_cumulative_per_million_2020_q4
Albania	-541.6311989659223	0.3193961538461538	847.0912982404498	1388.722497206372
Antigua and Barbuda	-161.98240720875395	0.5538863636363636	-379.746835443038	-217.76442823428403
Armenia	-1040.9985904562254	0.13923333333333335	1689.7685180872395	2730.767108543465
Aruba	520.012014718034	0.7253838235294117	616.69294886236	96.68093414432599
Australia	92.770022123685	0.65811797752809	77.63176925167	-15.138252872015002
Austria	-216.94487900917784	0.655892857142857	514.7453251382401	731.690204147418
Azerbaijan	-765.7816470719638	0.43045975609756104	667.4396722115202	1433.221319283484
Belgium	-424.90927035625	0.7471673913043477	353.10926656688	778.01853692313
Bolivia	182.2596219437296	0.33173043478260866	298.77133702531955	116.51171508158995
Bosnia and Herzegovi	-435.6847551302558	0.2144	1355.1749449623503	1790.859700092606
Brazil	-139.46030299800907	0.5716204545454547	157.54021849206993	297.000521490079
Bulgaria	408.80830129186234	0.23793750000000002	2841.5734951643	2432.7651938724375
Canada	-60.75741766245602	0.7490195652173912	80.94611528362196	141.70353294607798
Chile	41.28109599745403	0.7978108695652177	192.58526467508	151.30416867762597
Colombia	-292.3991705813022	0.44878285714285726	115.54148353299979	407.940654114302
Costa Rica	-32.92615751353355	0.5807249999999999	167.56057530166095	200.4867328151945
Croatia	145.66018125013102	0.4516379999999998	1465.5916613610098	1319.9314801108787
Cuba	218.8804705459295	0.7208539325842699	346.7635931008699	127.8831225549404
Cyprus	-1033.697281382845	0.6445088235294117	-871.3101571751099	162.38712420773498
Czechia	-679.2854934233967	0.5973173913043479	759.6222914635	1438.9077848868967
Denmark	210.25786438547095	0.7574521739130436	270.28273524829797	60.024870862827015
Ecuador	-152.55872137002984	0.6177750000000003	75.20619053984001	227.76491190986985
Egypt	179.85821223516723	0.1303777777777778	414.9569487805802	235.09873654541298
Estonia	697.0718017070776	0.5821076086956523	854.44355050534	157.3717487982624
Faeroe Islands	438.66283466950017	0.7157636363636363	412.19180154289006	-26.47103312661011
Finland	270.28579521068616	0.7009090909090909	307.85810384119	37.57230863050379
France	-255.98172703271496	0.6951195652173914	167.6900714900221	423.67179852273705
French Polynesia	-314.111672455536	0.49728181818181816	-41.771918745399944	272.33975371013605
Georgia	553.0098616810074	0.26374693877551025	1817.1198356563896	1264.1099739753822
Germany	97.61948396803609	0.6745891304347827	481.32713102783305	383.70764705979695
Greece	282.5080789421902	0.6256499999999999	718.9313154686301	436.42323652643995
Greenland	-336.04181853741704	0.6594826086956523	-168.90990878864898	167.13190974876807
Guatemala	123.6619872365003	0.2088891304347826	296.78876936759025	173.12678213108995
Hong Kong	1.2275541064488493	0.5963527472527472	131.26823151350197	130.04067740705312
Hungary	-201.29176894319903	0.5972935483870966	1145.7307092041	1347.0224781472991
Iceland	-107.7402891976178	0.7585799999999999	3.2403094495529956	110.9805986471708
Iran	-408.7226713352185	0.4255777777777777	242.87723436454962	651.5999056997681
Ireland	209.16365421537932	0.765064835164835	195.92798673866304	-13.235667476716301
Israel	-47.64826175869197	0.6229065217391304	78.35539769669504	126.00365945538701
Italy	-597.4899194518338	0.733548913043478	251.7440399133502	849.233959365184
Japan	13.753833583188012	0.7579054347826087	39.261701852936014	25.507868269748002
Kazakhstan	402.8189565110001	0.4022146067415731	682.94865747417	280.12970096316985
Kosovo	-897.1362678614942	0.4049053333333334	91.23990314878984	988.376171010284
Kyrgyzstan	-232.86762361815022	0.12290625000000002	287.0057843882598	519.87340800641
Latvia	1120.85954622371	0.5848260869565217	1691.00158544739	570.1420392236801
Lebanon	-75.18822536298921	0.2859035294117646	379.64242589935975	454.83065126234897
Liechtenstein	-1142.447296293451	0.6307230769230769	35.86157432311006	1178.308870616561
Lithuania	122.0102553208194	0.6286197802197804	1581.5041065422292	1459.4938512214098
Macao	70.34591840747198	0.6165516129032257	112.291310749817	41.945392342345016
Malta	-305.8388451403706	0.8174800000000001	160.7979527212251	466.6367978615957
Mauritius	1213.551310131918	0.66357	1176.828352894531	-36.72295723738699
Mexico	-557.8455705561098	0.47312586206896556	215.26514575912006	773.1107163152299
Moldova	216.6254124604029	0.2932823529411765	1306.25254368275	1089.627131222347
Monaco	182.63097639426627	0.6995999999999999	387.06863653710025	204.43766014283398
Mongolia	609.597638077987	0.6414075757575759	463.560650006482	-146.036988071505
Netherlands	150.03117412164397	0.665607142857143	530.94854350116	380.917369379516
New Zealand	6.101688042718024	0.6393760869565219	-32.10696551552098	-38.20865355823901
North Macedonia	-1065.0730032852598	0.36651600000000006	975.6909281948201	2040.76393148008
Norway	324.2075127970077	0.7046250000000001	329.463831438005	5.2563186409973
Oman	-108.99306731533105	0.6018833333333333	-2.1015509224590687	106.89151639287198
Paraguay	-204.33190195589555	0.3735230769230769	95.30417006834023	299.6360720242358
Peru	-139.25950673328998	0.517798913043478	-47.00809171527999	92.25141501801
Philippines	228.2597921565512	0.2804340909090909	227.1358052288001	-1.1239869277511048
Poland	-542.9949039522708	0.5294478873239438	1017.3509124503998	1560.3458164026706
Portugal	-241.1443306252579	0.8212071428571428	273.95255421642014	515.096884841678
Romania	751.5717673742915	0.35018804347826077	2256.7175206016395	1505.145753227348
Russia	343.0196759530836	0.373	2012.5841166833807	1669.564440730297
San Marino	-373.37758549161026	0.6408	592.6628341136698	966.04041960528
Serbia	531.6561176107862	0.4456512820512821	2309.640027202029	1777.983909591243
Seychelles	250.77486615948192	0.7248333333333333	-188.78557340095813	-439.56043956044005
Singapore	264.9625935162098	0.8026641304347827	249.63326976675992	-15.329323749449879
Slovakia	436.0618266098479	0.4607	1333.3157109652602	897.2538843554123
Slovenia	-783.6143077554598	0.5333766666666673	658.7210591626902	1442.33536691815
South Africa	-94.91136512664372	0.22743508771929818	296.5016229809803	391.412988107624
South Korea	142.08335424298224	0.7410869565217391	149.99766834505323	7.914314102071
Spain	-194.46190831225022	0.7882275862068967	185.2551654470899	379.7170737593401
Sweden	-131.975465594711	0.6683923076923078	105.60712296828797	237.58258856299898
Switzerland	-561.0599711945384	0.6435413043478263	278.35542373696	839.4153949314984
Taiwan	91.86119378814197	0.43121184210526314	50.14268283973598	-41.71851094840599
Thailand	197.2315985132239	0.503053488372093	262.956842997237	65.7252444840131
