location	total_cases_per_million	stringency_index_avg
Seychelles	250611.667	55.36867153284659
Sierra Leone	867.67	43.006726457399296
Singapore	51233.13	49.322469470828224
Sint Maarten (Dutch 		0
Slovakia	251608.381	53.06899135446693
Slovenia	223237.055	52.058088033012154
Solomon Islands	34.091	30.256244725738345
Somalia	1438.43	36.07973684210492
South Africa	57597.785	55.1078947368424
South America	91586.587	0
South Korea	12381.848	51.360921409214264
South Sudan	1339.205	53.6366265060241
Spain	134660.746	57.60179945054923
Sri Lanka	27317.144	59.870368349249254
Sudan	1035.82	39.60136826783101
Suriname	88621.455	72.31938775510197
Sweden	129405.849	50.163228021978234
Switzerland	152901.832	49.41751420454555
Syria	2751.084	50.179188790560296
Taiwan	713.854	32.15240591397826
Tajikistan	1794.223	37.78448275862074
Tanzania	476.532	18.807499999999983
Thailand	31785.678	49.10544973544953
Timor	14761.045	48.561902654867346
Togo	3557.695	48.25392241379315
Tonga	9.367	41.541267605633855
Trinidad and Tobago	65484.326	67.67803206997124
Tunisia	60884.749	53.7744252873559
Turkey	111503.351	62.09817126269965
Turks and Caicos Isl	83719.982	0
Uganda	2986.555	68.14605301914648
Ukraine	88509.484	59.380172166427855
United Arab Emirates	76261.703	53.23369357045143
United Kingdom	190088.573	59.606515775034616
United States	164584.281	57.32138211382049
Upper middle income	34354.353	0
Uruguay	118612.617	52.85219796215451
Uzbekistan	5861.162	50.78061313868637
Vanuatu	22.26	22.002157303370925
Vatican	33251.232	0
Venezuela	15489.839	77.8868950437313
Vietnam	17635.506	64.98652645861563
Wallis and Futuna	40923.021	0
World	36613.608	0
Yemen	332.102	31.457981790591884
Zambia	13438.963	43.7467302052787
Zimbabwe	14130.373	65.9315294117645
