location	total_deaths_per_million	stringency_index_avg
South Africa	1518.021	55.1078947368424
South America	2744.843	0
South Korea	109.638	51.360921409214264
South Sudan	11.861	53.6366265060241
Spain	1912.602	57.60179945054923
Sri Lanka	696.785	59.870368349249254
Sudan	74.172	39.60136826783101
Suriname	2009.131	72.31938775510197
Sweden	1506.866	50.163228021978234
Switzerland	1401.756	49.41751420454555
Syria	158.516	50.179188790560296
Taiwan	35.632	32.15240591397826
Tajikistan	12.821	37.78448275862074
Tanzania	11.984	18.807499999999983
Thailand	310.189	49.10544973544953
Timor	90.782	48.561902654867346
Togo	29.251	48.25392241379315
Tonga		41.541267605633855
Trinidad and Tobago	2044.359	67.67803206997124
Tunisia	2142.217	53.7744252873559
Turkey	968.466	62.09817126269965
Turks and Caicos Isl	662.826	0
Uganda	69.901	68.14605301914648
Ukraine	2348.642	59.380172166427855
United Arab Emirates	216.593	53.23369357045143
United Kingdom	2180.667	59.606515775034616
United States	2485.958	57.32138211382049
Upper middle income	900.495	0
Uruguay	1770.368	52.85219796215451
Uzbekistan	43.759	50.78061313868637
Vanuatu	3.18	22.002157303370925
Vatican		0
Venezuela	185.613	77.8868950437313
Vietnam	329.983	64.98652645861563
Wallis and Futuna	630.972	0
World	690.748	0
Yemen	65.069	31.457981790591884
Zambia	197.35	43.7467302052787
Zimbabwe	331.563	65.9315294117645
